ID,UserID,strDate,NameDevices,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,MagX,MagY,MagZ
268661,20228860,19:02:52.690,WTP2Left(FD:AC:6A:AA:60:D2),-0.100,1.058,0.037,-10.681,12.512,100.037,86.457,4.186,156.588,637,21250,-685
268662,20228860,19:02:58.120,WTP2Right(DA:60:79:91:04:9A),0.084,0.971,-0.165,-5.310,-0.610,1.526,99.575,-5.400,-60.139,-320,-32258,-383
268663,20228860,19:02:58.130,WTP2Left(FD:AC:6A:AA:60:D2),0.052,0.988,0.183,4.822,-4.517,3.967,79.261,-2.439,148.118,634,16642,-703
268664,20228860,19:02:58.157,WTP2Right(DA:60:79:91:04:9A),0.086,0.972,-0.163,-5.554,-0.122,1.526,99.465,-5.422,-60.194,-320,-32258,-383
268665,20228860,19:02:58.164,WTP2Left(FD:AC:6A:AA:60:D2),0.062,0.978,0.179,4.517,-5.066,4.272,79.354,-2.549,147.931,634,16642,-703
268666,20228860,19:02:58.171,WTP2Right(DA:60:79:91:04:9A),0.087,0.973,-0.165,-5.981,-0.488,1.526,99.349,-5.444,-60.249,-320,-32258,-383
268667,20228860,19:02:58.192,WTP2Left(FD:AC:6A:AA:60:D2),0.063,0.979,0.181,4.761,-4.944,3.357,79.459,-2.642,147.739,627,14594,-711
268668,20228860,19:02:58.199,WTP2Right(DA:60:79:91:04:9A),0.083,0.973,-0.163,-6.348,-0.549,1.343,99.229,-5.466,-60.309,-322,32254,-387
268669,20228860,19:02:58.222,WTP2Left(FD:AC:6A:AA:60:D2),0.054,0.980,0.176,5.188,-4.700,2.502,79.568,-2.719,147.552,627,14594,-711
268670,20228860,19:02:58.227,WTP2Right(DA:60:79:91:04:9A),0.087,0.974,-0.161,-6.958,-1.526,1.526,99.091,-5.482,-60.392,-322,32254,-387
268671,20228860,19:02:58.235,WTP2Left(FD:AC:6A:AA:60:D2),0.055,0.981,0.175,5.371,-5.798,2.014,79.684,-2.785,147.343,627,14594,-711
268672,20228860,19:02:58.242,WTP2Right(DA:60:79:91:04:9A),0.089,0.974,-0.160,-7.568,-2.197,1.831,98.948,-5.510,-60.485,-322,32254,-387
268673,20228860,19:02:58.262,WTP2Left(FD:AC:6A:AA:60:D2),0.058,0.979,0.175,5.554,-6.409,0.916,79.799,-2.829,147.123,627,14594,-711
268674,20228860,19:02:58.265,WTP2Right(DA:60:79:91:04:9A),0.093,0.973,-0.154,-7.996,-1.953,1.831,98.795,-5.532,-60.573,-322,32254,-387
268675,20228860,19:02:58.279,WTP2Left(FD:AC:6A:AA:60:D2),0.058,0.978,0.171,6.104,-6.653,-0.549,79.931,-2.851,146.893,627,14594,-711
268676,20228860,19:02:58.291,WTP2Right(DA:60:79:91:04:9A),0.090,0.975,-0.153,-8.362,-1.526,1.648,98.635,-5.559,-60.645,-322,32254,-387
268677,20228860,19:02:58.299,WTP2Left(FD:AC:6A:AA:60:D2),0.066,0.988,0.165,6.592,-5.371,-1.282,80.074,-2.845,146.689,627,14594,-711
268678,20228860,19:02:58.310,WTP2Right(DA:60:79:91:04:9A),0.083,0.976,-0.149,-8.850,-1.160,1.465,98.465,-5.581,-60.721,-322,32254,-387
268679,20228860,19:02:58.321,WTP2Left(FD:AC:6A:AA:60:D2),0.034,1.000,0.166,6.775,-4.456,0.000,80.217,-2.873,146.508,627,14594,-711
268680,20228860,19:02:58.329,WTP2Right(DA:60:79:91:04:9A),0.087,0.978,-0.150,-9.460,-2.075,1.709,98.284,-5.598,-60.809,-322,32254,-387
268681,20228860,19:02:58.346,WTP2Left(FD:AC:6A:AA:60:D2),0.027,0.984,0.157,7.935,-7.629,1.831,80.392,-2.922,146.283,627,14594,-711
268682,20228860,19:02:58.353,WTP2Right(DA:60:79:91:04:9A),0.095,0.977,-0.148,-10.559,-3.540,2.075,98.086,-5.625,-60.925,-322,32254,-387
268683,20228860,19:02:58.362,WTP2Left(FD:AC:6A:AA:60:D2),0.076,0.973,0.156,7.751,-8.179,-0.122,80.563,-2.933,146.041,627,14594,-711
268684,20228860,19:02:58.375,WTP2Right(DA:60:79:91:04:9A),0.095,0.977,-0.142,-11.475,-3.052,2.014,97.866,-5.652,-61.029,-322,32254,-387
268685,20228860,19:02:58.382,WTP2Left(FD:AC:6A:AA:60:D2),0.054,1.013,0.165,8.606,-6.653,-1.465,80.739,-2.944,145.822,627,14594,-711
