ID,UserID,strDate,NameDevices,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,MagX,MagY,MagZ
54989,20214063,14:26:08.089,WTP2Left(FD:AC:6A:AA:60:D2),0.280,0.830,-0.243,155.396,200.500,-55.725,107.413,-17.666,-130.633,306,15873,-450
54990,20214063,14:26:14.216,WTP2Right(DA:60:79:91:04:9A),0.179,0.971,-0.198,-0.244,-9.216,-10.315,101.475,-10.783,-58.694,-361,-25858,-358
54991,20214063,14:26:14.220,WTP2Left(FD:AC:6A:AA:60:D2),0.014,0.958,-0.264,-4.028,3.052,2.441,105.875,-2.043,143.394,602,-27646,-620
54992,20214063,14:26:14.256,WTP2Left(FD:AC:6A:AA:60:D2),0.020,0.966,-0.290,-4.700,3.235,3.296,105.793,-2.109,143.366,602,-27646,-620
54993,20214063,14:26:14.270,WTP2Left(FD:AC:6A:AA:60:D2),0.035,0.958,-0.307,-5.981,1.282,4.822,105.694,-2.197,143.289,602,-27646,-620
54994,20214063,14:26:14.270,WTP2Right(DA:60:79:91:04:9A),0.122,0.974,-0.134,2.197,3.662,-5.188,101.453,-10.410,-59.068,-365,-25090,-355
54995,20214063,14:26:14.284,WTP2Left(FD:AC:6A:AA:60:D2),0.031,0.952,-0.292,-7.202,3.784,5.493,105.568,-2.318,143.251,602,-27646,-620
54996,20214063,14:26:14.295,WTP2Right(DA:60:79:91:04:9A),0.151,0.965,-0.166,1.038,2.319,-3.906,101.442,-10.316,-59.183,-365,-25090,-355
54997,20214063,14:26:14.315,WTP2Left(FD:AC:6A:AA:60:D2),0.031,0.965,-0.264,-7.629,4.639,6.287,105.408,-2.461,143.240,598,-27390,-619
54998,20214063,14:26:14.328,WTP2Right(DA:60:79:91:04:9A),0.145,0.968,-0.172,2.075,0.916,-2.930,101.442,-10.217,-59.321,-365,-25090,-355
54999,20214063,14:26:14.340,WTP2Left(FD:AC:6A:AA:60:D2),0.073,0.957,-0.277,-8.545,0.183,7.080,105.255,-2.587,143.135,598,-27390,-619
55000,20214063,14:26:14.344,WTP2Right(DA:60:79:91:04:9A),0.170,0.952,-0.205,1.709,1.465,-3.235,101.470,-10.140,-59.458,-365,-25090,-355
55001,20214063,14:26:14.355,WTP2Left(FD:AC:6A:AA:60:D2),0.111,0.948,-0.275,-9.033,-1.831,5.981,105.084,-2.714,142.982,598,-27390,-619
55002,20214063,14:26:14.364,WTP2Right(DA:60:79:91:04:9A),0.182,0.942,-0.232,2.747,-0.061,-3.723,101.519,-10.063,-59.573,-365,-25090,-355
55003,20214063,14:26:14.375,WTP2Left(FD:AC:6A:AA:60:D2),0.056,0.946,-0.205,-7.568,3.479,3.540,104.897,-2.840,142.960,598,-27390,-619
55004,20214063,14:26:14.387,WTP2Right(DA:60:79:91:04:9A),0.138,0.958,-0.228,2.380,0.854,-4.456,101.596,-9.992,-59.678,-365,-25090,-355
55005,20214063,14:26:14.394,WTP2Left(FD:AC:6A:AA:60:D2),0.040,0.966,-0.217,-6.042,3.052,3.662,104.749,-2.933,142.943,598,-27390,-619
55006,20214063,14:26:14.403,WTP2Right(DA:60:79:91:04:9A),0.112,0.962,-0.195,3.601,3.601,-5.676,101.656,-9.904,-59.766,-365,-25090,-355
55007,20214063,14:26:14.419,WTP2Left(FD:AC:6A:AA:60:D2),0.033,0.958,-0.252,-5.066,-1.404,4.883,104.650,-3.010,142.833,598,-27390,-619
55008,20214063,14:26:14.426,WTP2Right(DA:60:79:91:04:9A),0.131,0.955,-0.179,3.601,2.014,-4.028,101.711,-9.789,-59.848,-365,-25090,-355
55009,20214063,14:26:14.436,WTP2Left(FD:AC:6A:AA:60:D2),0.117,0.961,-0.288,-5.798,-4.578,4.944,104.568,-3.071,142.646,598,-27390,-619
55010,20214063,14:26:14.446,WTP2Right(DA:60:79:91:04:9A),0.159,0.958,-0.176,3.357,-0.183,-2.441,101.761,-9.690,-59.974,-365,-25090,-355
55011,20214063,14:26:14.464,WTP2Left(FD:AC:6A:AA:60:D2),0.100,0.963,-0.254,-5.676,-1.465,3.174,104.458,-3.170,142.515,598,-27390,-619
55012,20214063,14:26:14.476,WTP2Right(DA:60:79:91:04:9A),0.167,0.966,-0.182,3.296,-0.916,-3.418,101.816,-9.613,-60.145,-365,-25090,-355
55013,20214063,14:26:14.492,WTP2Left(FD:AC:6A:AA:60:D2),0.059,0.945,-0.232,-5.127,5.005,0.916,104.337,-3.241,142.531,598,-27390,-619
55014,20214063,14:26:14.517,WTP2Right(DA:60:79:91:04:9A),0.151,0.971,-0.204,3.113,0.305,-6.348,101.871,-9.525,-60.298,-365,-25090,-355
55015,20214063,14:26:14.530,WTP2Left(FD:AC:6A:AA:60:D2),0.040,0.955,-0.224,-4.639,5.554,1.587,104.227,-3.301,142.575,598,-27390,-619
55016,20214063,14:26:14.537,WTP2Right(DA:60:79:91:04:9A),0.121,0.958,-0.221,2.869,1.404,-7.874,101.926,-9.393,-60.403,-365,-25090,-355
55017,20214063,14:26:14.543,WTP2Left(FD:AC:6A:AA:60:D2),0.076,0.959,-0.250,-4.517,1.892,3.540,104.145,-3.367,142.537,598,-27390,-619
55018,20214063,14:26:14.554,WTP2Right(DA:60:79:91:04:9A),0.118,0.951,-0.215,3.784,3.052,-7.141,101.992,-9.240,-60.469,-365,-25090,-355
55019,20214063,14:26:14.564,WTP2Left(FD:AC:6A:AA:60:D2),0.073,0.954,-0.239,-4.150,1.648,4.089,104.057,-3.466,142.482,598,-27390,-619
55020,20214063,14:26:14.582,WTP2Right(DA:60:79:91:04:9A),0.156,0.957,-0.210,4.578,3.723,-4.089,102.068,-9.102,-60.524,-365,-25090,-355
55021,20214063,14:26:14.588,WTP2Left(FD:AC:6A:AA:60:D2),0.083,0.955,-0.242,-3.662,-2.991,3.662,103.991,-3.532,142.339,598,-27390,-619
55022,20214063,14:26:14.593,WTP2Right(DA:60:79:91:04:9A),0.061,0.951,-0.238,12.207,23.560,6.104,102.178,-9.091,-60.485,-365,-25090,-355
55023,20214063,14:26:14.603,WTP2Left(FD:AC:6A:AA:60:D2),0.141,0.943,-0.228,-3.113,-21.057,2.563,103.947,-3.494,141.855,593,-27390,-619
55024,20214063,14:26:14.615,WTP2Right(DA:60:79:91:04:9A),0.145,0.973,-0.176,10.193,27.222,9.155,102.354,-9.311,-60.172,-365,-25090,-355
55025,20214063,14:26:14.623,WTP2Left(FD:AC:6A:AA:60:D2),0.018,0.966,-0.209,-2.625,-6.775,4.089,103.881,-3.598,141.630,593,-27390,-619
55026,20214063,14:26:14.641,WTP2Right(DA:60:79:91:04:9A),0.209,0.961,-0.191,5.981,17.639,3.479,102.442,-9.509,-59.897,-365,-25090,-355
55027,20214063,14:26:14.655,WTP2Left(FD:AC:6A:AA:60:D2),-0.045,0.974,-0.248,-3.113,6.104,8.240,103.821,-3.741,141.614,593,-27390,-619
55028,20214063,14:26:14.662,WTP2Right(DA:60:79:91:04:9A),0.204,0.947,-0.208,6.653,11.719,-5.310,102.502,-9.602,-59.744,-365,-25090,-355
55029,20214063,14:26:14.673,WTP2Left(FD:AC:6A:AA:60:D2),0.042,0.973,-0.271,-2.136,0.427,12.756,103.793,-3.906,141.575,593,-27390,-619
