ID,UserID,strDate,NameDevices,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,MagX,MagY,MagZ
40122,20214063,14:22:23.024,WTP2Left(FD:AC:6A:AA:60:D2),-0.289,1.010,-0.224,88.135,147.095,-80.017,113.555,-31.069,-88.500,352,-26367,-615
40123,20214063,14:22:29.129,WTP2Right(DA:60:79:91:04:9A),0.091,0.972,-0.144,2.869,2.441,-0.122,98.141,-6.888,-69.423,-336,-30210,-375
40124,20214063,14:22:29.134,WTP2Left(FD:AC:6A:AA:60:D2),0.067,0.957,-0.226,-4.089,2.136,2.747,103.997,-3.477,141.559,591,28930,-655
40125,20214063,14:22:29.142,WTP2Right(DA:60:79:91:04:9A),0.097,0.974,-0.132,2.502,1.648,-0.122,98.190,-6.877,-69.445,-336,-30210,-375
40126,20214063,14:22:29.152,WTP2Left(FD:AC:6A:AA:60:D2),0.063,0.958,-0.240,-3.418,0.305,1.770,103.931,-3.516,141.504,591,28930,-655
40127,20214063,14:22:29.160,WTP2Right(DA:60:79:91:04:9A),0.097,0.973,-0.145,2.808,0.000,0.183,98.240,-6.861,-69.494,-336,-30210,-375
40128,20214063,14:22:29.163,WTP2Left(FD:AC:6A:AA:60:D2),0.080,0.960,-0.242,-3.174,-1.160,0.916,103.870,-3.532,141.427,591,28930,-655
40129,20214063,14:22:29.187,WTP2Right(DA:60:79:91:04:9A),0.117,0.969,-0.144,2.686,-0.916,0.305,98.300,-6.850,-69.560,-336,-30210,-375
40130,20214063,14:22:29.192,WTP2Left(FD:AC:6A:AA:60:D2),0.077,0.966,-0.242,-3.052,-1.709,0.061,103.815,-3.538,141.339,591,28930,-655
40131,20214063,14:22:29.212,WTP2Right(DA:60:79:91:04:9A),0.104,0.978,-0.146,3.540,0.122,-0.061,98.366,-6.844,-69.620,-335,-30210,-375
40132,20214063,14:22:29.221,WTP2Left(FD:AC:6A:AA:60:D2),0.063,0.954,-0.231,-2.747,-0.244,-0.549,103.755,-3.532,141.284,591,28930,-655
40133,20214063,14:22:29.233,WTP2Right(DA:60:79:91:04:9A),0.103,0.976,-0.144,0.854,2.197,0.305,98.410,-6.844,-69.653,-335,-30210,-375
40134,20214063,14:22:29.246,WTP2Left(FD:AC:6A:AA:60:D2),0.051,0.964,-0.232,-2.563,1.526,-0.122,103.700,-3.543,141.273,591,28930,-655
40135,20214063,14:22:29.252,WTP2Right(DA:60:79:91:04:9A),0.097,0.976,-0.143,2.441,0.671,0.305,98.438,-6.844,-69.686,-335,-30210,-375
40136,20214063,14:22:29.266,WTP2Left(FD:AC:6A:AA:60:D2),0.065,0.963,-0.248,-2.563,0.366,1.282,103.656,-3.560,141.229,591,28930,-655
40137,20214063,14:22:29.278,WTP2Right(DA:60:79:91:04:9A),0.111,0.969,-0.148,1.160,1.465,0.671,98.470,-6.844,-69.725,-335,-30210,-375
40138,20214063,14:22:29.291,WTP2Left(FD:AC:6A:AA:60:D2),0.088,0.961,-0.243,-2.136,-0.916,1.770,103.623,-3.587,141.158,591,28930,-655
40139,20214063,14:22:29.303,WTP2Right(DA:60:79:91:04:9A),0.095,0.974,-0.154,1.221,2.258,0.793,98.498,-6.855,-69.747,-335,-30210,-375
40140,20214063,14:22:29.315,WTP2Left(FD:AC:6A:AA:60:D2),0.077,0.964,-0.229,-1.343,0.732,1.038,103.590,-3.625,141.108,591,28930,-655
40141,20214063,14:22:29.329,WTP2Right(DA:60:79:91:04:9A),0.101,0.965,-0.150,0.977,3.540,1.404,98.514,-6.877,-69.747,-335,-30210,-375
40142,20214063,14:22:29.334,WTP2Left(FD:AC:6A:AA:60:D2),0.069,0.968,-0.240,-1.709,3.113,-0.122,103.557,-3.653,141.108,591,28930,-655
40143,20214063,14:22:29.351,WTP2Right(DA:60:79:91:04:9A),0.116,0.965,-0.158,0.977,4.700,2.075,98.536,-6.910,-69.719,-335,-30210,-375
40144,20214063,14:22:29.363,WTP2Left(FD:AC:6A:AA:60:D2),0.069,0.957,-0.238,-1.770,2.747,-0.610,103.524,-3.664,141.119,591,28930,-655
40145,20214063,14:22:29.373,WTP2Right(DA:60:79:91:04:9A),0.157,0.972,-0.150,1.587,5.066,2.380,98.553,-6.960,-69.681,-335,-30210,-375
40146,20214063,14:22:29.397,WTP2Left(FD:AC:6A:AA:60:D2),0.066,0.966,-0.237,-1.892,2.136,-0.366,103.486,-3.669,141.119,588,29186,-654
40147,20214063,14:22:29.402,WTP2Right(DA:60:79:91:04:9A),0.144,0.981,-0.151,3.418,5.859,1.526,98.597,-7.026,-69.626,-335,-30210,-375
40148,20214063,14:22:29.418,WTP2Left(FD:AC:6A:AA:60:D2),0.052,0.962,-0.237,-1.526,3.662,-0.488,103.453,-3.680,141.141,588,29186,-654
40149,20214063,14:22:29.425,WTP2Right(DA:60:79:91:04:9A),0.108,0.982,-0.152,5.005,7.568,-1.160,98.663,-7.070,-69.532,-335,-30210,-375
40150,20214063,14:22:29.433,WTP2Left(FD:AC:6A:AA:60:D2),0.047,0.971,-0.245,-2.380,5.127,-0.305,103.414,-3.686,141.191,588,29186,-654
40151,20214063,14:22:29.444,WTP2Right(DA:60:79:91:04:9A),0.099,0.965,-0.147,5.432,6.165,-0.793,98.751,-7.070,-69.445,-336,-29698,-373
40152,20214063,14:22:29.461,WTP2Left(FD:AC:6A:AA:60:D2),0.064,0.967,-0.248,-3.052,2.319,0.854,103.365,-3.702,141.207,588,29186,-654
40153,20214063,14:22:29.474,WTP2Right(DA:60:79:91:04:9A),0.084,0.982,-0.154,3.235,3.601,-3.479,98.822,-7.031,-69.401,-336,-29698,-373
40154,20214063,14:22:29.483,WTP2Left(FD:AC:6A:AA:60:D2),0.061,0.964,-0.243,-3.967,1.831,1.709,103.299,-3.735,141.191,588,29186,-654
40155,20214063,14:22:29.498,WTP2Right(DA:60:79:91:04:9A),0.094,0.969,-0.152,2.625,1.221,-7.996,98.877,-6.905,-69.395,-336,-29698,-373
40156,20214063,14:22:29.511,WTP2Left(FD:AC:6A:AA:60:D2),0.063,0.967,-0.239,-4.517,2.930,2.563,103.217,-3.790,141.185,588,29186,-654
40157,20214063,14:22:29.523,WTP2Right(DA:60:79:91:04:9A),0.136,0.971,-0.150,2.563,-0.671,-12.512,98.926,-6.685,-69.423,-336,-29698,-373
40158,20214063,14:22:29.534,WTP2Left(FD:AC:6A:AA:60:D2),0.051,0.971,-0.250,-5.920,4.272,4.395,103.019,-3.972,141.196,588,29186,-654
40159,20214063,14:22:29.550,WTP2Right(DA:60:79:91:04:9A),0.100,0.970,-0.163,3.357,-1.770,-15.198,98.981,-6.411,-69.456,-336,-29698,-373
40160,20214063,14:22:29.552,WTP2Left(FD:AC:6A:AA:60:D2),0.060,0.970,-0.249,-8.057,6.470,4.822,102.881,-4.076,141.246,588,29186,-654
40161,20214063,14:22:29.565,WTP2Right(DA:60:79:91:04:9A),0.120,0.965,-0.151,3.235,1.953,-12.817,99.119,-5.823,-69.417,-336,-29698,-373
40162,20214063,14:22:29.575,WTP2Left(FD:AC:6A:AA:60:D2),0.068,0.964,-0.235,-9.460,6.470,6.226,102.706,-4.213,141.301,588,29186,-654
40163,20214063,14:22:29.588,WTP2Right(DA:60:79:91:04:9A),0.054,0.972,-0.156,4.211,2.197,-16.907,99.058,-6.108,-69.450,-336,-29698,-373
40164,20214063,14:22:29.594,WTP2Left(FD:AC:6A:AA:60:D2),0.065,0.972,-0.220,-9.644,5.554,7.935,102.513,-4.378,141.339,588,29186,-654
40165,20214063,14:22:29.608,WTP2Right(DA:60:79:91:04:9A),0.060,0.981,-0.156,5.188,1.587,-18.616,99.196,-5.504,-69.395,-336,-29698,-373
40166,20214063,14:22:29.633,WTP2Left(FD:AC:6A:AA:60:D2),0.069,0.975,-0.236,-10.864,7.507,9.399,102.305,-4.576,141.389,588,29186,-654
40167,20214063,14:22:29.642,WTP2Right(DA:60:79:91:04:9A),0.093,0.965,-0.156,6.042,2.625,-24.231,99.294,-5.065,-69.351,-336,-29698,-373
40168,20214063,14:22:29.652,WTP2Left(FD:AC:6A:AA:60:D2),0.061,0.975,-0.229,-12.390,10.193,11.292,102.068,-4.818,141.482,588,29186,-654
40169,20214063,14:22:29.664,WTP2Right(DA:60:79:91:04:9A),0.097,0.969,-0.158,4.883,-1.770,-16.846,99.514,-4.246,-69.379,-336,-29698,-373
40170,20214063,14:22:29.681,WTP2Left(FD:AC:6A:AA:60:D2),0.066,0.968,-0.240,-13.977,10.803,14.709,101.805,-5.120,141.586,588,29186,-654
40171,20214063,14:22:29.693,WTP2Right(DA:60:79:91:04:9A),0.039,0.975,-0.161,7.324,-1.465,-23.743,99.630,-3.862,-69.401,-336,-29698,-373
40172,20214063,14:22:29.704,WTP2Left(FD:AC:6A:AA:60:D2),0.053,0.970,-0.228,-15.930,13.916,18.677,101.503,-5.499,141.724,588,29186,-654
40173,20214063,14:22:29.717,WTP2Right(DA:60:79:91:04:9A),0.024,0.969,-0.149,9.399,1.404,-23.621,99.789,-3.395,-69.384,-336,-29698,-373
40174,20214063,14:22:29.730,WTP2Left(FD:AC:6A:AA:60:D2),0.018,0.995,-0.232,-18.738,19.348,23.987,101.140,-5.982,141.938,588,29186,-654
40175,20214063,14:22:29.743,WTP2Right(DA:60:79:91:04:9A),0.035,0.962,-0.174,9.216,0.793,-25.024,99.965,-2.906,-69.346,-336,-29698,-373
40176,20214063,14:22:29.753,WTP2Left(FD:AC:6A:AA:60:D2),-0.037,0.993,-0.231,-21.667,20.874,32.837,100.728,-6.564,142.185,588,29186,-654
40177,20214063,14:22:29.763,WTP2Right(DA:60:79:91:04:9A),0.039,0.967,-0.180,9.888,-1.221,-22.888,100.157,-2.422,-69.329,-336,-29698,-373
40178,20214063,14:22:29.779,WTP2Left(FD:AC:6A:AA:60:D2),-0.042,1.000,-0.219,-24.658,16.663,46.082,100.267,-7.317,142.394,588,29186,-654
40179,20214063,14:22:29.785,WTP2Right(DA:60:79:91:04:9A),0.018,0.967,-0.183,10.986,-0.793,-24.536,100.366,-1.950,-69.313,-336,-29698,-373
40180,20214063,14:22:29.802,WTP2Left(FD:AC:6A:AA:60:D2),0.039,1.046,-0.222,-29.541,3.967,62.805,99.750,-8.306,142.410,588,29186,-654
40181,20214063,14:22:29.817,WTP2Right(DA:60:79:91:04:9A),-0.006,0.950,-0.161,12.085,-0.916,-14.954,100.591,-1.560,-69.324,-336,-29698,-373
40182,20214063,14:22:29.822,WTP2Left(FD:AC:6A:AA:60:D2),0.048,1.062,-0.229,-35.583,-2.319,80.200,99.168,-9.608,142.174,588,29186,-654
40183,20214063,14:22:29.834,WTP2Right(DA:60:79:91:04:9A),-0.005,0.956,-0.158,12.939,0.366,-20.691,100.822,-1.198,-69.335,-336,-29698,-373
40184,20214063,14:22:29.842,WTP2Left(FD:AC:6A:AA:60:D2),-0.040,1.124,-0.250,-38.757,8.728,93.323,98.509,-11.234,141.938,588,29186,-654
40185,20214063,14:22:29.861,WTP2Right(DA:60:79:91:04:9A),-0.002,0.954,-0.142,15.503,-0.366,-23.560,101.074,-0.758,-69.335,-336,-29698,-373
40186,20214063,14:22:29.865,WTP2Left(FD:AC:6A:AA:60:D2),0.023,1.183,-0.322,-26.733,15.991,102.051,97.932,-13.057,141.877,588,29186,-654
40187,20214063,14:22:29.876,WTP2Right(DA:60:79:91:04:9A),-0.005,0.953,-0.199,16.541,1.099,-19.714,101.365,-0.308,-69.335,-336,-29698,-373
40188,20214063,14:22:29.892,WTP2Left(FD:AC:6A:AA:60:D2),-0.040,1.599,-0.333,-33.386,21.851,115.295,97.383,-15.084,141.954,588,29186,-654
40189,20214063,14:22:29.905,WTP2Right(DA:60:79:91:04:9A),-0.024,0.983,-0.248,14.954,1.465,-23.499,101.700,0.093,-69.274,-336,-29698,-373
40190,20214063,14:22:29.914,WTP2Left(FD:AC:6A:AA:60:D2),-0.104,1.737,-0.275,-32.043,31.677,121.582,96.696,-17.303,142.224,588,29186,-654
40191,20214063,14:22:29.923,WTP2Right(DA:60:79:91:04:9A),-0.033,0.966,-0.215,11.719,-2.014,-29.968,102.003,0.582,-69.192,-336,-29698,-373
40192,20214063,14:22:29.934,WTP2Left(FD:AC:6A:AA:60:D2),-0.036,1.641,-0.366,-26.917,14.282,123.230,96.092,-19.534,142.449,588,29186,-654
40193,20214063,14:22:29.939,WTP2Right(DA:60:79:91:04:9A),0.008,0.976,-0.237,11.108,-4.150,-30.396,102.244,1.187,-69.164,-336,-29698,-373
40194,20214063,14:22:29.955,WTP2Left(FD:AC:6A:AA:60:D2),0.049,1.452,-0.404,-36.255,-19.043,124.023,95.680,-21.709,142.130,588,29186,-654
40195,20214063,14:22:29.962,WTP2Right(DA:60:79:91:04:9A),-0.047,0.987,-0.276,8.545,-7.202,-33.264,102.475,1.813,-69.164,-336,-29698,-373
40196,20214063,14:22:29.972,WTP2Left(FD:AC:6A:AA:60:D2),0.388,1.117,-0.343,-39.978,6.165,131.042,95.208,-23.967,141.691,588,29186,-654
40197,20214063,14:22:29.986,WTP2Right(DA:60:79:91:04:9A),-0.073,0.967,-0.274,5.615,-8.240,-34.729,102.667,2.477,-69.170,-336,-29698,-373
40198,20214063,14:22:29.997,WTP2Left(FD:AC:6A:AA:60:D2),-0.332,0.804,-0.654,-24.414,-25.208,127.747,95.054,-26.422,140.993,588,29186,-654
40199,20214063,14:22:30.002,WTP2Right(DA:60:79:91:04:9A),-0.058,0.979,-0.248,1.648,-12.329,-31.372,102.794,3.181,-69.225,-336,-29698,-373
40200,20214063,14:22:30.011,WTP2Left(FD:AC:6A:AA:60:D2),-0.901,0.638,-0.283,-14.587,-12.329,64.331,95.169,-27.993,140.350,588,29186,-654
40201,20214063,14:22:30.019,WTP2Right(DA:60:79:91:04:9A),-0.134,0.995,-0.266,-1.343,-10.010,-28.625,102.821,3.834,-69.357,-336,-29698,-373
40202,20214063,14:22:30.026,WTP2Left(FD:AC:6A:AA:60:D2),-0.523,0.512,-0.283,15.625,-38.757,20.142,95.240,-28.043,140.334,588,29186,-654
40203,20214063,14:22:30.034,WTP2Right(DA:60:79:91:04:9A),-0.118,0.945,-0.255,-2.686,-9.705,-25.757,102.810,4.427,-69.456,-336,-29698,-373
40204,20214063,14:22:30.044,WTP2Left(FD:AC:6A:AA:60:D2),-0.542,0.363,-0.359,41.870,-46.509,-14.771,95.784,-27.197,140.339,588,29186,-654
40205,20214063,14:22:30.063,WTP2Right(DA:60:79:91:04:9A),-0.119,0.955,-0.232,-2.197,-14.038,-20.813,102.777,4.982,-69.598,-336,-29698,-373
40206,20214063,14:22:30.074,WTP2Left(FD:AC:6A:AA:60:D2),-0.546,0.374,-0.356,52.612,-31.494,-72.083,96.647,-25.444,140.581,588,29186,-654
40207,20214063,14:22:30.084,WTP2Right(DA:60:79:91:04:9A),-0.109,0.978,-0.215,-1.709,-16.052,-18.738,102.722,5.460,-69.846,-336,-29698,-373
40208,20214063,14:22:30.111,WTP2Left(FD:AC:6A:AA:60:D2),-0.488,0.514,-0.172,54.199,-13.245,-119.568,97.449,-22.731,141.207,588,29186,-654
40209,20214063,14:22:30.120,WTP2Right(DA:60:79:91:04:9A),-0.104,0.971,-0.221,-2.014,-12.817,-17.700,102.667,5.900,-70.120,-336,-29698,-373
40210,20214063,14:22:30.127,WTP2Left(FD:AC:6A:AA:60:D2),-0.344,0.646,-0.056,54.077,-5.615,-157.776,98.157,-19.308,142.020,588,29186,-654
40211,20214063,14:22:30.133,WTP2Right(DA:60:79:91:04:9A),-0.106,0.974,-0.223,-1.526,-7.263,-14.465,102.612,6.279,-70.313,-336,-29698,-373
40212,20214063,14:22:30.143,WTP2Left(FD:AC:6A:AA:60:D2),-0.384,1.027,0.062,52.795,4.211,-219.788,99.426,-10.948,143.992,588,29186,-654
40213,20214063,14:22:30.156,WTP2Right(DA:60:79:91:04:9A),-0.103,0.987,-0.231,-2.136,-0.732,-14.282,102.579,6.581,-70.400,-336,-29698,-373
40214,20214063,14:22:30.164,WTP2Left(FD:AC:6A:AA:60:D2),-0.163,0.859,0.056,50.293,3.296,-190.430,98.789,-15.353,142.960,588,29186,-654
40215,20214063,14:22:30.183,WTP2Right(DA:60:79:91:04:9A),-0.110,1.013,-0.251,-3.845,1.648,-14.221,102.546,6.850,-70.373,-336,-29698,-373
40216,20214063,14:22:30.208,WTP2Left(FD:AC:6A:AA:60:D2),-0.135,1.249,0.040,52.124,1.160,-227.661,100.162,-6.328,145.020,588,29186,-654
40217,20214063,14:22:30.226,WTP2Right(DA:60:79:91:04:9A),-0.111,1.022,-0.256,-4.456,1.892,-11.169,102.491,7.086,-70.307,-336,-29698,-373
40218,20214063,14:22:30.234,WTP2Left(FD:AC:6A:AA:60:D2),-0.090,1.454,-0.002,50.964,7.141,-236.755,100.986,-1.703,145.992,588,29186,-654
40219,20214063,14:22:30.243,WTP2Right(DA:60:79:91:04:9A),-0.040,1.031,-0.262,-3.357,-4.333,-11.963,102.437,7.295,-70.269,-336,-29698,-373
40220,20214063,14:22:30.253,WTP2Left(FD:AC:6A:AA:60:D2),0.120,1.509,-0.109,53.955,-22.949,-237.000,101.904,2.977,146.948,588,29186,-654
40221,20214063,14:22:30.262,WTP2Right(DA:60:79:91:04:9A),-0.067,1.081,-0.278,-3.601,-10.986,-13.672,102.382,7.531,-70.345,-336,-29698,-373
40222,20214063,14:22:30.271,WTP2Left(FD:AC:6A:AA:60:D2),-2.469,1.565,-0.164,49.194,-88.806,-230.530,102.870,7.696,147.140,588,29186,-654
40223,20214063,14:22:30.277,WTP2Right(DA:60:79:91:04:9A),-0.053,1.046,-0.234,-7.568,-14.038,-22.278,102.288,7.828,-70.516,-336,-29698,-373
40224,20214063,14:22:30.285,WTP2Left(FD:AC:6A:AA:60:D2),0.422,1.555,0.255,-29.236,1.587,97.717,101.415,19.644,137.477,588,29186,-654
40225,20214063,14:22:30.298,WTP2Right(DA:60:79:91:04:9A),-0.005,1.059,-0.240,-11.108,-17.456,-38.696,102.096,8.350,-70.714,-336,-29698,-373
40226,20214063,14:22:30.306,WTP2Left(FD:AC:6A:AA:60:D2),0.554,1.664,-0.165,31.250,-130.371,-218.994,103.497,12.382,146.124,588,29186,-654
40227,20214063,14:22:30.312,WTP2Right(DA:60:79:91:04:9A),0.014,1.152,-0.208,-14.221,-21.423,-48.767,101.832,9.152,-70.928,-336,-29698,-373
40228,20214063,14:22:30.319,WTP2Left(FD:AC:6A:AA:60:D2),0.735,1.623,-0.257,8.057,-139.404,-204.895,103.464,16.842,144.338,588,29186,-654
40229,20214063,14:22:30.330,WTP2Right(DA:60:79:91:04:9A),0.056,1.198,-0.190,-18.188,-24.231,-60.547,101.464,10.135,-71.186,-336,-29698,-373
40230,20214063,14:22:30.341,WTP2Left(FD:AC:6A:AA:60:D2),1.177,1.543,-0.423,-1.953,-148.743,-171.204,102.838,20.858,142.180,588,29186,-654
40231,20214063,14:22:30.348,WTP2Right(DA:60:79:91:04:9A),0.058,1.219,-0.149,-22.339,-29.480,-82.764,100.997,11.387,-71.477,-336,-29698,-373
40232,20214063,14:22:30.354,WTP2Left(FD:AC:6A:AA:60:D2),1.625,1.288,-0.531,3.967,-116.394,-128.540,101.931,23.994,139.741,588,29186,-654
40233,20214063,14:22:30.365,WTP2Right(DA:60:79:91:04:9A),0.100,1.238,-0.096,-24.597,-26.001,-100.952,100.426,13.035,-71.790,-336,-29698,-373
40234,20214063,14:22:30.371,WTP2Left(FD:AC:6A:AA:60:D2),1.415,0.931,-0.501,18.311,-16.418,-82.825,101.448,25.867,138.076,588,29186,-654
40235,20214063,14:22:30.383,WTP2Right(DA:60:79:91:04:9A),0.078,1.183,-0.174,-34.180,-29.907,-130.859,99.783,15.057,-72.010,-336,-29698,-373
40236,20214063,14:22:30.395,WTP2Left(FD:AC:6A:AA:60:D2),0.961,0.938,-0.358,16.174,55.847,-9.827,101.915,26.202,138.208,588,29186,-654
40237,20214063,14:22:30.406,WTP2Right(DA:60:79:91:04:9A),0.217,1.201,-0.281,-33.203,-31.555,-113.708,99.064,17.402,-72.158,-336,-29698,-373
40238,20214063,14:22:30.423,WTP2Left(FD:AC:6A:AA:60:D2),0.374,1.022,-0.283,1.587,15.503,78.430,102.491,24.911,138.928,588,29186,-654
40239,20214063,14:22:30.436,WTP2Right(DA:60:79:91:04:9A),0.305,1.366,-0.327,-40.894,-45.288,-175.110,98.350,19.786,-72.318,-336,-29698,-373
40240,20214063,14:22:30.450,WTP2Left(FD:AC:6A:AA:60:D2),0.357,1.238,-0.176,-11.841,-24.536,142.029,102.239,22.374,138.411,588,29186,-654
40241,20214063,14:22:30.455,WTP2Right(DA:60:79:91:04:9A),0.200,1.425,-0.472,-37.598,-40.710,-210.388,97.564,23.203,-72.422,-336,-29698,-373
