ID,UserID,strDate,NameDevices,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,MagX,MagY,MagZ
242719,20228860,18:56:30.770,WTP2Left(FD:AC:6A:AA:60:D2),-0.017,1.030,0.085,-22.705,36.743,15.625,83.397,6.586,163.542,548,2562,-502
242720,20228860,18:56:53.128,WTP2Right(DA:60:79:91:04:9A),-0.167,0.945,0.210,0.061,0.061,1.160,77.640,9.866,-51.389,-102,24575,-417
242721,20228860,18:56:53.137,WTP2Left(FD:AC:6A:AA:60:D2),-0.093,0.994,-0.053,-1.282,3.418,-1.648,92.681,4.175,147.250,637,21506,-684
242722,20228860,18:56:53.163,WTP2Right(DA:60:79:91:04:9A),-0.168,0.948,0.209,0.000,0.122,0.977,77.640,9.844,-51.432,-102,24575,-417
242723,20228860,18:56:53.178,WTP2Left(FD:AC:6A:AA:60:D2),-0.075,0.995,-0.064,-1.282,2.930,-1.343,92.675,4.213,147.255,637,21506,-684
242724,20228860,18:56:53.191,WTP2Right(DA:60:79:91:04:9A),-0.171,0.949,0.207,0.000,0.610,0.854,77.640,9.827,-51.465,-102,24575,-417
242725,20228860,18:56:53.192,WTP2Left(FD:AC:6A:AA:60:D2),-0.090,0.993,-0.053,-0.916,3.174,-2.136,92.653,4.279,147.244,637,21506,-684
242726,20228860,18:56:53.208,WTP2Right(DA:60:79:91:04:9A),-0.165,0.943,0.207,0.061,0.916,0.610,77.646,9.816,-51.493,-102,24575,-417
242727,20228860,18:56:53.220,WTP2Left(FD:AC:6A:AA:60:D2),-0.083,0.994,-0.060,-0.854,3.174,-1.953,92.653,4.323,147.255,637,21506,-684
242728,20228860,18:56:53.224,WTP2Right(DA:60:79:91:04:9A),-0.166,0.950,0.212,-0.549,0.061,0.305,77.646,9.811,-51.526,-102,24575,-417
242729,20228860,18:56:53.237,WTP2Left(FD:AC:6A:AA:60:D2),-0.085,0.993,-0.055,-0.732,2.869,-1.648,92.648,4.362,147.261,637,21506,-684
242730,20228860,18:56:53.248,WTP2Right(DA:60:79:91:04:9A),-0.167,0.955,0.212,-0.793,0.244,0.671,77.629,9.800,-51.570,-102,24575,-417
242731,20228860,18:56:53.253,WTP2Left(FD:AC:6A:AA:60:D2),-0.073,0.994,-0.056,-0.793,2.930,-1.709,92.642,4.395,147.261,637,21506,-684
242732,20228860,18:56:53.260,WTP2Right(DA:60:79:91:04:9A),-0.169,0.949,0.210,-0.793,0.671,0.854,77.613,9.789,-51.608,-102,24575,-417
242733,20228860,18:56:53.270,WTP2Left(FD:AC:6A:AA:60:D2),-0.083,0.996,-0.049,-1.465,4.517,-1.953,92.626,4.427,147.288,637,21506,-684
242734,20228860,18:56:53.279,WTP2Right(DA:60:79:91:04:9A),-0.168,0.945,0.208,-0.488,0.977,0.671,77.602,9.772,-51.636,-102,24575,-417
242735,20228860,18:56:53.289,WTP2Left(FD:AC:6A:AA:60:D2),-0.084,0.993,-0.053,-1.343,6.653,-2.502,92.615,4.471,147.354,637,21506,-684
242736,20228860,18:56:53.303,WTP2Right(DA:60:79:91:04:9A),-0.171,0.943,0.214,-0.366,1.221,0.488,77.596,9.767,-51.663,-102,24575,-417
242737,20228860,18:56:53.312,WTP2Left(FD:AC:6A:AA:60:D2),-0.091,0.992,-0.057,-0.916,5.005,-2.319,92.609,4.521,147.409,637,21506,-684
242738,20228860,18:56:53.331,WTP2Right(DA:60:79:91:04:9A),-0.163,0.941,0.210,-0.854,1.343,0.366,77.580,9.767,-51.713,-102,24575,-417
242739,20228860,18:56:53.344,WTP2Left(FD:AC:6A:AA:60:D2),-0.103,0.993,-0.057,-0.977,4.211,-1.343,92.609,4.554,147.442,640,20738,-687
242740,20228860,18:56:53.348,WTP2Right(DA:60:79:91:04:9A),-0.163,0.943,0.215,-1.526,0.061,-0.366,77.558,9.767,-51.746,-102,24575,-417
242741,20228860,18:56:53.354,WTP2Left(FD:AC:6A:AA:60:D2),-0.097,0.992,-0.065,-0.366,1.160,-0.977,92.615,4.587,147.426,640,20738,-687
242742,20228860,18:56:53.364,WTP2Right(DA:60:79:91:04:9A),-0.173,0.943,0.215,-1.526,0.061,-0.366,77.525,9.772,-51.795,-100,24319,-418
242743,20228860,18:56:53.368,WTP2Left(FD:AC:6A:AA:60:D2),-0.087,0.990,-0.059,0.183,-0.977,0.122,92.626,4.603,147.365,640,20738,-687
242744,20228860,18:56:53.380,WTP2Right(DA:60:79:91:04:9A),-0.170,0.953,0.215,-1.709,-1.160,-0.244,77.481,9.778,-51.872,-100,24319,-418
